IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
13.55.238.1,2083,80,false,SYD,Oceania,Sydney,148,0.00
13.209.166.73,80,8080,false,ICN,Asia Pacific,Seoul,149,0.00
13.215.80.221,2082,80,false,SIN,Asia Pacific,Singapore,152,0.00
13.55.59.224,2096,80,false,SYD,Oceania,Sydney,153,0.00
13.54.173.154,2086,80,false,SYD,Oceania,Sydney,157,0.00
13.55.237.163,2095,80,false,SYD,Oceania,Sydney,158,0.00
13.36.63.124,2083,80,false,CDG,Europe,Paris,159,0.00
13.36.24.111,2087,80,false,CDG,Europe,Paris,160,0.00
13.55.59.224,2053,80,false,SYD,Oceania,Sydney,160,0.00
16.162.172.91,2096,80,false,HKG,Asia Pacific,Hong Kong,161,0.00
15.188.168.174,2086,80,false,CDG,Europe,Paris,165,0.00
13.36.24.111,2082,80,false,CDG,Europe,Paris,170,0.00
13.236.104.165,2095,80,false,SYD,Oceania,Sydney,170,0.00
13.36.63.124,2082,80,false,CDG,Europe,Paris,172,0.00
13.36.24.111,2095,80,false,CDG,Europe,Paris,172,0.00
13.36.24.111,2086,80,false,CDG,Europe,Paris,172,0.00
13.36.63.124,2095,80,false,CDG,Europe,Paris,172,0.00
15.236.116.199,2083,80,false,CDG,Europe,Paris,173,0.00
15.236.116.199,2087,80,false,CDG,Europe,Paris,173,0.00
16.162.172.91,2087,80,false,HKG,Asia Pacific,Hong Kong,173,0.00
54.66.80.167,2086,80,false,SYD,Oceania,Sydney,174,0.00
13.36.63.124,2086,80,false,CDG,Europe,Paris,174,0.00
13.36.63.124,2053,80,false,CDG,Europe,Paris,174,0.00
15.161.74.249,2095,80,false,MXP,Europe,Milan,175,0.00
13.230.34.30,80,80,false,NRT,Asia Pacific,Tokyo,175,0.00
13.36.63.124,2096,80,false,CDG,Europe,Paris,176,0.00
15.236.116.199,2095,80,false,CDG,Europe,Paris,176,0.00
15.161.216.233,2086,80,false,MXP,Europe,Milan,176,0.00
15.236.116.199,2086,80,false,CDG,Europe,Paris,177,0.00
15.161.119.140,2053,80,false,MXP,Europe,Milan,177,0.00
15.160.15.101,2053,80,false,MXP,Europe,Milan,177,0.00
15.160.14.66,2082,80,false,MXP,Europe,Milan,177,0.00
15.160.80.28,2086,80,false,MXP,Europe,Milan,177,0.00
15.160.80.28,2083,80,false,MXP,Europe,Milan,178,0.00
65.0.144.242,2087,80,false,BOM,Asia Pacific,Mumbai,179,0.00
15.160.15.101,2082,80,false,MXP,Europe,Milan,179,0.00
13.236.104.165,2096,80,false,SYD,Oceania,Sydney,180,0.00
18.102.5.243,2087,80,false,MXP,Europe,Milan,181,0.00
15.160.15.255,2082,80,false,MXP,Europe,Milan,181,0.00
15.161.74.249,2096,80,false,MXP,Europe,Milan,181,0.00
15.160.15.101,2083,80,false,MXP,Europe,Milan,181,0.00
16.63.55.49,2086,80,false,MXP,Europe,Milan,182,0.00
15.161.119.140,2087,80,false,MXP,Europe,Milan,182,0.00
16.162.172.91,2082,80,false,HKG,Asia Pacific,Hong Kong,182,0.00
15.160.19.149,2052,80,false,MXP,Europe,Milan,182,0.00
15.160.15.255,2052,80,false,MXP,Europe,Milan,182,0.00
15.161.215.18,2095,80,false,MXP,Europe,Milan,183,0.00
15.161.186.110,2053,80,false,MXP,Europe,Milan,184,0.00
15.160.15.101,2096,80,false,MXP,Europe,Milan,184,0.00
15.161.74.249,2053,80,false,MXP,Europe,Milan,185,0.00
15.236.116.199,2096,80,false,CDG,Europe,Paris,185,0.00
18.102.5.243,2083,80,false,MXP,Europe,Milan,185,0.00
15.160.80.28,2087,80,false,MXP,Europe,Milan,186,0.00
15.161.74.249,2052,80,false,MXP,Europe,Milan,186,0.00
15.161.186.110,2095,80,false,MXP,Europe,Milan,186,0.00
15.160.15.101,2086,80,false,MXP,Europe,Milan,187,0.00
18.102.5.243,2052,80,false,MXP,Europe,Milan,188,0.00
18.102.5.243,2096,80,false,MXP,Europe,Milan,188,0.00
15.161.186.110,2083,80,false,MXP,Europe,Milan,188,0.00
15.160.19.149,2053,80,false,MXP,Europe,Milan,188,0.00
15.161.119.140,2052,80,false,MXP,Europe,Milan,189,0.00
15.160.19.149,2087,80,false,MXP,Europe,Milan,189,0.00
15.160.15.255,2053,80,false,MXP,Europe,Milan,189,0.00
13.36.63.124,2052,80,false,CDG,Europe,Paris,189,0.00
13.48.140.41,2096,80,false,ARN,Europe,Stockholm,190,0.00
13.48.36.215,2096,80,false,ARN,Europe,Stockholm,190,0.00
15.161.215.18,2053,80,false,MXP,Europe,Milan,190,0.00
15.165.63.136,2052,80,false,ICN,Asia Pacific,Seoul,190,0.00
13.51.138.200,2086,80,false,ARN,Europe,Stockholm,190,0.00
15.161.186.110,2082,80,false,MXP,Europe,Milan,191,0.00
13.48.36.215,2095,80,false,ARN,Europe,Stockholm,191,0.00
15.161.216.233,2052,80,false,MXP,Europe,Milan,191,0.00
15.188.168.174,2052,80,false,CDG,Europe,Paris,192,0.00
15.160.14.66,2052,80,false,MXP,Europe,Milan,192,0.00
15.161.74.249,2087,80,false,MXP,Europe,Milan,192,0.00
13.48.140.41,2082,80,false,ARN,Europe,Stockholm,193,0.00
15.161.74.249,2086,80,false,MXP,Europe,Milan,194,0.00
13.54.173.154,2052,80,false,SYD,Oceania,Sydney,194,0.00
15.188.168.174,2083,80,false,CDG,Europe,Paris,195,0.00
13.55.59.224,2086,80,false,SYD,Oceania,Sydney,195,0.00
13.48.36.215,2082,80,false,ARN,Europe,Stockholm,195,0.00
13.48.140.41,2053,80,false,ARN,Europe,Stockholm,196,0.00
15.161.216.233,2096,80,false,MXP,Europe,Milan,196,0.00
13.49.119.167,2052,80,false,ARN,Europe,Stockholm,197,0.00
15.165.63.136,2053,80,false,ICN,Asia Pacific,Seoul,197,0.00
13.49.6.192,2053,80,false,ARN,Europe,Stockholm,197,0.00
13.49.6.192,2095,80,false,ARN,Europe,Stockholm,199,0.00
13.48.36.215,2087,80,false,ARN,Europe,Stockholm,199,0.00
13.48.140.41,2083,80,false,ARN,Europe,Stockholm,200,0.00
15.236.116.199,2082,80,false,CDG,Europe,Paris,200,0.00
15.161.215.18,2052,80,false,MXP,Europe,Milan,200,0.00
15.188.168.174,2053,80,false,CDG,Europe,Paris,201,0.00
16.63.251.69,2083,80,false,ZRH,Europe,Zurich,202,0.00
16.162.172.91,2052,80,false,HKG,Asia Pacific,Hong Kong,202,0.00
13.36.24.111,2096,80,false,CDG,Europe,Paris,202,0.00
13.55.59.224,2082,80,false,SYD,Oceania,Sydney,202,0.00
13.48.140.41,2087,80,false,ARN,Europe,Stockholm,203,0.00
13.48.36.215,2086,80,false,ARN,Europe,Stockholm,203,0.00
54.79.10.40,2095,80,false,SYD,Oceania,Sydney,203,0.00
15.161.119.140,2086,80,false,MXP,Europe,Milan,204,0.00
54.66.80.167,2052,80,false,SYD,Oceania,Sydney,204,0.00
15.161.215.18,2083,80,false,MXP,Europe,Milan,204,0.00
13.51.138.200,2082,80,false,ARN,Europe,Stockholm,204,0.00
13.49.6.192,2087,80,false,ARN,Europe,Stockholm,205,0.00
15.161.216.233,2053,80,false,MXP,Europe,Milan,205,0.00
15.161.215.18,2082,80,false,MXP,Europe,Milan,207,0.00
15.161.186.110,2096,80,false,MXP,Europe,Milan,207,0.00
13.48.140.41,2095,80,false,ARN,Europe,Stockholm,207,0.00
16.16.186.249,443,443,true,FRA,Europe,Frankfurt,207,0.00
15.161.119.140,2096,80,false,MXP,Europe,Milan,207,0.00
54.66.80.167,2095,80,false,SYD,Oceania,Sydney,208,0.00
13.49.119.167,2087,80,false,ARN,Europe,Stockholm,208,0.00
13.49.6.192,2082,80,false,ARN,Europe,Stockholm,209,0.00
15.161.215.18,2087,80,false,MXP,Europe,Milan,209,0.00
15.160.15.255,2086,80,false,MXP,Europe,Milan,210,0.00
15.161.74.249,2082,80,false,MXP,Europe,Milan,210,0.00
15.160.14.66,2087,80,false,MXP,Europe,Milan,211,0.00
13.236.104.165,2053,80,false,SYD,Oceania,Sydney,211,0.00
18.159.137.214,2096,80,false,FRA,Europe,Frankfurt,212,0.00
16.16.45.85,8443,443,true,ARN,Europe,Stockholm,212,0.00
16.63.251.69,2087,80,false,ZRH,Europe,Zurich,212,0.00
15.236.116.199,2052,80,false,CDG,Europe,Paris,212,0.00
15.160.19.149,2082,80,false,MXP,Europe,Milan,213,0.00
15.161.216.233,2083,80,false,MXP,Europe,Milan,213,0.00
15.161.216.233,2087,80,false,MXP,Europe,Milan,213,0.00
15.160.80.28,2053,80,false,MXP,Europe,Milan,213,0.00
16.63.251.69,2052,80,false,ZRH,Europe,Zurich,215,0.00
15.188.168.174,2096,80,false,CDG,Europe,Paris,216,0.00
15.161.216.233,2095,80,false,MXP,Europe,Milan,217,0.00
13.54.173.154,2053,80,false,SYD,Oceania,Sydney,217,0.00
15.188.168.174,2095,80,false,CDG,Europe,Paris,218,0.00
13.237.223.44,2052,80,false,SYD,Oceania,Sydney,218,0.00
13.49.119.167,2096,80,false,ARN,Europe,Stockholm,218,0.00
18.159.105.97,80,80,false,FRA,Europe,Frankfurt,218,0.00
15.160.14.66,2096,80,false,MXP,Europe,Milan,218,0.00
13.36.24.111,2052,80,false,CDG,Europe,Paris,218,0.00
15.160.15.101,2052,80,false,MXP,Europe,Milan,220,0.00
13.55.59.224,2095,80,false,SYD,Oceania,Sydney,220,0.00
15.161.119.140,2083,80,false,MXP,Europe,Milan,221,0.00
18.159.137.214,2095,80,false,FRA,Europe,Frankfurt,221,0.00
15.161.215.18,2096,80,false,MXP,Europe,Milan,222,0.00
15.160.14.66,2083,80,false,MXP,Europe,Milan,222,0.00
13.51.138.200,2095,80,false,ARN,Europe,Stockholm,222,0.00
18.159.137.214,2087,80,false,FRA,Europe,Frankfurt,222,0.00
15.161.216.233,2082,80,false,MXP,Europe,Milan,223,0.00
15.161.186.110,2086,80,false,MXP,Europe,Milan,225,0.00
13.51.138.200,2053,80,false,ARN,Europe,Stockholm,225,0.00
15.160.19.149,2096,80,false,MXP,Europe,Milan,225,0.00
15.160.15.255,2095,80,false,MXP,Europe,Milan,226,0.00
13.36.63.124,2087,80,false,CDG,Europe,Paris,226,0.00
15.165.63.136,2095,80,false,ICN,Asia Pacific,Seoul,228,0.00
15.161.186.110,2087,80,false,MXP,Europe,Milan,229,0.00
13.114.59.37,2052,80,false,NRT,Asia Pacific,Tokyo,233,0.00
15.161.119.140,2082,80,false,MXP,Europe,Milan,233,0.00
15.161.119.140,2095,80,false,MXP,Europe,Milan,233,0.00
16.162.177.179,2082,80,false,HKG,Asia Pacific,Hong Kong,234,0.00
15.160.15.255,2083,80,false,MXP,Europe,Milan,234,0.00
13.49.119.167,2086,80,false,ARN,Europe,Stockholm,234,0.00
13.48.36.215,2053,80,false,ARN,Europe,Stockholm,235,0.00
15.160.15.255,2096,80,false,MXP,Europe,Milan,236,0.00
15.188.168.174,2087,80,false,CDG,Europe,Paris,237,0.00
16.63.251.69,2082,80,false,ZRH,Europe,Zurich,238,0.00
16.63.251.69,2095,80,false,ZRH,Europe,Zurich,240,0.00
16.162.172.91,2083,80,false,HKG,Asia Pacific,Hong Kong,243,0.00
15.160.80.28,2052,80,false,MXP,Europe,Milan,244,0.00
13.49.119.167,2095,80,false,ARN,Europe,Stockholm,245,0.00
15.160.80.28,2095,80,false,MXP,Europe,Milan,245,0.00
13.51.138.200,2096,80,false,ARN,Europe,Stockholm,246,0.00
15.188.168.174,2082,80,false,CDG,Europe,Paris,246,0.00
54.66.80.167,2082,80,false,SYD,Oceania,Sydney,247,0.00
13.48.140.41,2052,80,false,ARN,Europe,Stockholm,247,0.00
13.55.59.224,2083,80,false,SYD,Oceania,Sydney,248,0.00
15.160.14.66,2053,80,false,MXP,Europe,Milan,248,0.00
15.160.19.149,2083,80,false,MXP,Europe,Milan,248,0.00
15.161.74.249,2083,80,false,MXP,Europe,Milan,253,0.00
15.236.116.199,2053,80,false,CDG,Europe,Paris,253,0.00
18.159.105.97,443,443,true,FRA,Europe,Frankfurt,254,0.00
13.36.24.111,2083,80,false,CDG,Europe,Paris,255,0.00
13.60.214.3,443,443,true,AMS,Europe,Amsterdam,255,0.00
15.160.15.101,2095,80,false,MXP,Europe,Milan,256,0.00
13.236.104.165,2052,80,false,SYD,Oceania,Sydney,259,0.00
13.49.119.167,2082,80,false,ARN,Europe,Stockholm,259,0.00
13.49.119.167,2083,80,false,ARN,Europe,Stockholm,260,0.00
15.160.15.101,2087,80,false,MXP,Europe,Milan,261,0.00
18.102.5.243,2095,80,false,MXP,Europe,Milan,261,0.00
16.63.251.69,2096,80,false,ZRH,Europe,Zurich,262,0.00
13.55.59.224,2052,80,false,SYD,Oceania,Sydney,262,0.00
15.160.19.149,2086,80,false,MXP,Europe,Milan,264,0.00
15.160.19.149,2095,80,false,MXP,Europe,Milan,265,0.00
13.48.36.215,2083,80,false,ARN,Europe,Stockholm,265,0.00
15.160.80.28,2096,80,false,MXP,Europe,Milan,266,0.00
16.63.251.69,2053,80,false,ZRH,Europe,Zurich,266,0.00
13.49.6.192,2096,80,false,ARN,Europe,Stockholm,267,0.00
13.48.36.215,2052,80,false,ARN,Europe,Stockholm,272,0.00
15.160.14.66,2086,80,false,MXP,Europe,Milan,273,0.00
13.37.165.175,2053,80,false,CDG,Europe,Paris,274,0.00
13.51.138.200,2083,80,false,ARN,Europe,Stockholm,275,0.00
16.162.177.179,2096,80,false,HKG,Asia Pacific,Hong Kong,276,0.00
15.160.15.255,2087,80,false,MXP,Europe,Milan,279,0.00
54.66.80.167,2083,80,false,SYD,Oceania,Sydney,288,0.00
13.49.119.167,2053,80,false,ARN,Europe,Stockholm,289,0.00
18.159.51.236,8443,443,true,FRA,Europe,Frankfurt,291,0.00
15.160.14.66,2095,80,false,MXP,Europe,Milan,294,0.00
16.63.251.69,2086,80,false,ZRH,Europe,Zurich,295,0.00
15.160.80.28,2082,80,false,MXP,Europe,Milan,296,0.00
13.246.85.121,2082,80,false,CPT,Africa,Cape Town,304,0.00
13.245.152.196,2095,80,false,CPT,Africa,Cape Town,309,0.00
16.162.177.179,2095,80,false,HKG,Asia Pacific,Hong Kong,309,0.00
13.246.85.121,2086,80,false,CPT,Africa,Cape Town,310,0.00
13.246.85.121,2052,80,false,CPT,Africa,Cape Town,310,0.00
13.246.85.121,2087,80,false,CPT,Africa,Cape Town,310,0.00
13.245.152.196,2082,80,false,CPT,Africa,Cape Town,310,0.00
13.246.85.121,2095,80,false,CPT,Africa,Cape Town,311,0.00
13.246.85.121,2096,80,false,CPT,Africa,Cape Town,313,0.00
13.245.152.196,2096,80,false,CPT,Africa,Cape Town,316,0.00
13.245.152.196,2053,80,false,CPT,Africa,Cape Town,317,0.00
13.246.85.121,2083,80,false,CPT,Africa,Cape Town,319,0.00
13.246.85.121,2053,80,false,CPT,Africa,Cape Town,319,0.00
15.156.17.176,8443,443,true,YUL,North America,Montréal,321,0.00
13.245.152.196,2086,80,false,CPT,Africa,Cape Town,321,0.00
16.162.177.179,2087,80,false,HKG,Asia Pacific,Hong Kong,368,0.00
16.162.172.91,2086,80,false,HKG,Asia Pacific,Hong Kong,384,0.00
15.188.74.45,443,443,true,AMS,Europe,Amsterdam,385,0.00
54.79.10.40,2087,80,false,SYD,Oceania,Sydney,392,0.00
16.162.177.179,2052,80,false,HKG,Asia Pacific,Hong Kong,411,0.00
54.66.80.167,2087,80,false,SYD,Oceania,Sydney,551,0.00
